transaction_id,customer_id,transaction_date,transaction_type,amount,product_category,product_subcategory,branch_city,branch_lat,branch_long,channel,currency,credit_card_fees,insurance_fees,late_payment_amount,customer_score,monthly_income,customer_segment,recommended_offer,month,year_month,total_fees
1,8270,2025-01-29,Card Payment,6980.185223,Checking Account,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,839,576768,Middle Income Segment,Mid-tier Savings Booster,1,2025-01,0
2,1860,2023-02-10,Deposit,10786.37185,Mortgage,Gold,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,683,2441,Low Income Segment,Financial Literacy Program Access,2,2023-02,0
3,6390,2024-03-07,Transfer,3982.761111,Loan,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0,9246,0,500,995708,High Income Segment,Premium Investment Services,3,2024-03,9246
4,6191,2023-07-04,Withdrawal,12408.64414,Mortgage,Standard,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,392,15458,Low Income Segment,Financial Literacy Program Access,7,2023-07,0
5,6734,2025-02-05,Fee,1868.260998,Checking Account,Platinum,Murcia,37.9847,-1.1287,Mobile,USD,0,0,0,368,582527,Middle Income Segment,Mid-tier Savings Booster,2,2025-02,0
6,7265,2023-09-30,Card Payment,3165.15063,Savings Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,793,623459,Middle Income Segment,Mid-tier Savings Booster,9,2023-09,0
7,1466,2023-02-11,Fee,4771.087539,Savings Account,Student,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,441,64368,Middle Income Segment,Mid-tier Savings Booster,2,2023-02,0
8,5426,2024-01-14,Deposit,4484.855719,Checking Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,419,157634,Low Income Segment,Financial Literacy Program Access,1,2024-01,0
9,6578,2023-07-15,Deposit,9929.003111,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,4266,0,687,540732,Middle Income Segment,Personal Loan Cashback Offer,7,2023-07,4266
10,9322,2024-02-14,Transfer,3669.693233,Savings Account,Business,Bilbao,43.263,-2.935,Branch,EUR,0,0,0,617,794049,High Income Segment,Premium Investment Services,2,2024-02,0
11,2685,2023-01-04,Deposit,10750.80782,Loan,Student,Bilbao,43.263,-2.935,Branch,EUR,0,3397,0,843,991087,High Income Segment,Premium Investment Services,1,2023-01,3397
12,1769,2023-11-23,Card Payment,9476.064541,Credit Card,Gold,Valencia,39.4699,-0.3763,ATM,EUR,40,0,0,383,600041,Middle Income Segment,Gold Card with Travel Benefits,11,2023-11,40
